行号,技能,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
22,龙牙,25.5675,25.5675,26.785,4,4,3,5,4,1,1,1,0,1,2,2,,[],21868256.03422845,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
23,龙牙,26.785,26.785,28.0025,3,3,2,4,3,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
24,断魂刺→龙牙,28.0025,28.0025,29.22,2,5,4,3,2,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":28.0025,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",27325957.018804662,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
25,龙牙,29.22,29.22,30.4375,4,4,3,2,1,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
26,龙牙,30.4375,30.4375,31.655,3,3,2,1,0,1,1,1,0,1,2,2,,[],21314348.61848888,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
27,灭·正常,31.655,31.655,32.8725,2,2,5,0,0,1,1,1,0,0,2,2,normal,[],11419955.300381282,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091}"
28,龙牙,32.8725,32.8725,34.09,5,5,4,0,0,1,1,1,0,1,2,2,,[],20702354.937660128,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
29,龙牙,34.09,34.09,35.3075,4,4,3,0,0,1,1,1,0,1,2,2,,[],20289709.967274055,"{""dragonFang"":8497374.962540247,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
30,龙牙,35.3075,35.3075,36.525,3,3,2,0,0,1,1,1,0,1,2,2,,[],17630132.687151898,"{""dragonFang"":8183594.6067008,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
31,灭·破楼兰,36.525,36.525,37.7425,2,2,5,0,0,1,1,1,0,0,2,2,poLouLanBonus,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
32,龙牙,37.7425,37.7425,38.96,5,5,4,0,0,1,1,1,0,0,2,2,,[],17251601.9143654,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
33,龙牙,38.96,38.96,40.1775,4,4,3,0,0,1,1,1,0,0,2,2,,[],16587385.089504238,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
34,龙牙,40.1775,40.1775,41.395,3,3,2,0,0,1,1,1,0,0,2,2,,[],14728579.152352858,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
35,龙牙,41.395,41.395,42.6125,2,2,1,0,0,1,1,1,0,0,2,2,,[],16222819.316041209,"{""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
36,下马→穿云,42.6125,42.6125,43.83,1,1,2,0,0,1,0,0,0,0,2,2,,"[{""action"":""dismount"",""seconds"":42.6125,""rageBefore"":null,""rageAfter"":null,""mounted"":null,""thunder"":null,""orange"":null,""reason"":""thunder-ended"",""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",3987025.6209645136,"{""cloudStrike"":2012970.6101515128,""breakArmy"":630970.9242958768,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
37,任驰骋（前置）,43.83,43.83,45.0475,2,2,2,0,6,0,1,0,0,0,2,2,,[],1615878.2095050337,"{""autoAttack"":222054.87265258387,""bleedTick"":1393823.3368524497}"
38,灭·正常,45.0475,45.0475,46.265,2,2,5,6,6,1,1,0,0,0,2,2,normal,[],5931397.615586096,"{""destroy"":2349242.6237770272,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2270750.04571451,""destroyStrain"":350256.68238678254,""autoAttack"":222054.87265258387}"
39,雷→龙牙,46.265,46.265,47.4825,5,5,4,6,5,1,1,1,0,1,2,2,,"[{""action"":""thunder"",""seconds"":46.265,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":6,""chargeReadyAtStart"":true}]",24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
40,龙牙,47.4825,47.4825,48.7,4,4,3,5,4,1,1,1,0,1,2,2,,[],23757221.69589267,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
41,龙牙,48.7,48.7,49.9175,3,3,2,4,3,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
42,断魂刺→龙牙,49.9175,49.9175,51.135,2,5,4,3,2,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":49.9175,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",25079024.70906857,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
43,龙牙,51.135,51.135,52.3525,4,4,3,2,1,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
44,龙牙,52.3525,52.3525,53.57,3,3,2,1,0,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
45,灭·正常,53.57,53.57,54.7875,2,2,5,0,0,1,1,1,0,0,2,2,normal,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
46,龙牙,54.7875,54.7875,56.005,5,5,4,0,0,1,1,1,0,1,2,2,,[],18097455.979852162,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347}"
47,CW→龙牙,56.005,56.005,57.2225,4,5,5,0,0,1,1,1,1,1,2,2,,"[{""action"":""orange"",""seconds"":56.005,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",27347556.51210074,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
48,龙牙,57.2225,57.2225,58.44,5,5,5,0,0,1,1,1,1,1,2,2,,[],27347556.51210074,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
49,龙牙,58.44,58.44,59.6575,5,5,5,0,0,1,1,1,1,1,2,2,,[],27347556.51210074,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
50,龙牙,59.6575,59.6575,60.875,5,5,5,0,0,1,1,1,1,0,2,2,,[],20857132.879101537,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""autoAttack"":323516.0942473035}"
51,龙牙,60.875,60.875,62.0925,5,5,5,0,0,1,1,1,1,0,2,2,,[],22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
52,龙牙,62.0925,62.0925,63.31,5,5,4,0,0,1,1,1,0,0,2,2,,[],17251601.9143654,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
53,龙牙,63.31,63.31,64.5275,4,4,3,0,0,1,1,1,0,0,2,2,,[],16587385.089504238,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
54,下马→龙吟,64.5275,64.5275,65.745,3,3,5,0,0,1,0,0,0,0,2,1,,"[{""action"":""dismount"",""seconds"":64.5275,""rageBefore"":null,""rageAfter"":null,""mounted"":null,""thunder"":null,""orange"":null,""reason"":""thunder-ended"",""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",4041188.5132846334,"{""dragonRoar"":3209533.180270538,""breakArmy"":630970.9242958768,""autoAttack"":200684.40871821836}"
55,龙牙,65.745,65.745,66.9625,5,5,2,0,1,0,0,0,0,0,2,1,,[],10544326.062108519,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":952499.8641144952,""autoAttack"":200684.40871821836}"
56,灭·正常,66.9625,66.9625,68.18,2,2,5,1,1,0,0,0,0,0,2,2,normal,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
57,龙牙,68.18,68.18,69.3975,5,5,2,1,2,0,0,0,0,0,2,2,,[],10734225.87579293,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
58,灭·破楼兰,69.3975,69.3975,70.615,2,2,5,2,2,0,0,0,0,0,2,2,poLouLanBonus,[],4991784.960895907,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836}"
59,任驰骋→雷,70.615,70.615,71.8325,5,5,5,2,8,0,1,0,0,0,2,2,,"[{""action"":""thunder"",""seconds"":71.77,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":8,""chargeReadyAtStart"":true}]",1142399.6777989056,"{""bleedTick"":1142399.6777989056}"
60,龙牙,71.8325,71.8325,73.05,5,5,4,8,7,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
61,龙牙,73.05,73.05,74.2675,4,4,3,7,6,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
62,龙牙,74.2675,74.2675,75.485,3,3,2,6,5,1,1,1,0,1,2,2,,[],21314348.61848888,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
63,断魂刺→龙牙,75.485,75.485,76.7025,2,5,4,5,4,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":75.485,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",27325957.018804662,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
64,龙牙,76.7025,76.7025,77.92,4,4,3,4,3,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
65,龙牙,77.92,77.92,79.1375,3,3,2,3,2,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
66,灭·正常,79.1375,79.1375,80.355,2,2,5,2,2,1,1,1,0,0,2,2,normal,[],9173022.99064519,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189}"
67,龙牙,80.355,80.355,81.5725,5,5,4,2,1,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
68,龙牙,81.5725,81.5725,82.79,4,4,3,1,0,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
