行号,技能,主要技能ID,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
11,灭·正常,destroy,12.175,12.175,13.3925,3,3,5,0,0,1,1,1,0,1,2,2,normal,[],12092220.549923362,"{""destroy"":3931285.614871933,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3799934.0295191747,""destroyStrain"":564636.1597970189,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
12,龙牙,dragonFang,13.3925,13.3925,14.61,5,5,4,0,0,1,1,1,0,1,2,2,,[],18455422.627924036,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
13,龙牙,dragonFang,14.61,14.61,15.8275,4,4,3,0,0,1,1,1,0,1,2,2,,[],20289709.967274055,"{""dragonFang"":8497374.962540247,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
14,龙牙,dragonFang,15.8275,15.8275,17.045,3,3,2,0,0,1,1,1,0,1,2,2,,[],19519098.348816115,"{""dragonFang"":8183594.6067008,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
15,断魂刺→龙牙,dragonFang,17.045,17.045,18.2625,2,5,4,0,0,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":17.045,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",23359216.196760677,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
16,龙牙,dragonFang,18.2625,18.2625,19.48,4,4,3,0,0,1,1,1,0,0,2,2,,[],15069279.882966712,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
17,龙牙,dragonFang,19.48,19.48,20.6975,3,3,2,0,0,1,1,1,0,0,2,2,,[],16570200.453137688,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
18,龙牙,dragonFang,20.6975,20.6975,21.915,2,2,1,0,0,1,1,1,0,0,2,2,,[],16222819.316041209,"{""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
19,灭·正常,destroy,21.915,21.915,23.1325,1,1,4,0,0,1,1,0,0,0,2,2,normal,[],5975842.641667494,"{""destroy"":1863380.6496111874,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1788150.298856523,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
20,下马→任驰骋→雷,ride,23.1325,23.1325,24.35,4,4,4,0,6,1,1,0,0,0,2,2,,"[{""action"":""dismount"",""seconds"":23.1325,""rageBefore"":null,""rageAfter"":null,""mounted"":true,""thunder"":false,""orange"":false,""ride"":false,""reason"":""refresh-ride"",""dragonRideStacksAtStart"":0,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""thunder"",""seconds"":24.2875,""rageBefore"":4,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":6,""chargeReadyAtStart"":true,""breakArmyWindow"":null,""activeUntilSeconds"":42.2875}]",0,{}
21,龙牙,dragonFang,24.35,24.35,25.5675,4,4,3,6,5,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
22,龙牙,dragonFang,25.5675,25.5675,26.785,3,3,2,5,4,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
23,断魂刺+下马+突→龙牙,dragonFang,26.785,26.785,28.0025,2,5,4,4,5,1,0,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":26.785,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""dismount"",""seconds"":26.785,""rageBefore"":null,""rageAfter"":null,""mounted"":true,""thunder"":true,""orange"":false,""ride"":true,""reason"":""free-search"",""dragonRideStacksAtStart"":4,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""dash"",""seconds"":26.785,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":true,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null}]",24675186.886549663,"{""charge"":273929.6832460043,""breakArmy"":5957328.939636361,""dash"":124504.90186171386,""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
24,龙牙,dragonFang,28.0025,28.0025,29.22,4,4,3,5,6,0,0,1,0,1,2,2,,[],18042777.657537963,"{""dragonFang"":8497374.962540247,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
25,下马→龙牙,dragonFang,29.22,29.22,30.4375,3,3,2,6,7,0,0,1,0,1,2,2,,"[{""action"":""dismount"",""seconds"":29.22,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":true,""orange"":false,""ride"":true,""reason"":""free-search"",""dragonRideStacksAtStart"":6,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",19877064.99688799,"{""dragonFang"":8183594.6067008,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
26,灭·正常,destroy,30.4375,30.4375,31.655,2,2,5,7,7,0,0,1,0,1,2,2,normal,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
27,龙牙,dragonFang,31.655,31.655,32.8725,5,5,4,7,8,0,0,1,0,1,2,2,,[],20344388.289588254,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
28,龙牙,dragonFang,32.8725,32.8725,34.09,4,4,3,8,9,0,0,1,0,1,2,2,,[],18042777.657537963,"{""dragonFang"":8497374.962540247,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
29,龙牙,dragonFang,34.09,34.09,35.3075,3,3,2,9,10,0,0,1,0,1,2,2,,[],19877064.99688799,"{""dragonFang"":8183594.6067008,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
30,灭·破楼兰,destroy,35.3075,35.3075,36.525,2,2,5,10,10,0,0,1,0,1,2,2,poLouLanBonus,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
31,龙牙,dragonFang,36.525,36.525,37.7425,5,5,4,10,11,0,0,1,0,1,2,2,,[],20702354.937660128,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
32,龙牙,dragonFang,37.7425,37.7425,38.96,4,4,3,11,12,0,0,1,0,1,2,2,,[],18008327.103713393,"{""dragonFang"":8497374.962540247,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":323516.0942473035}"
33,龙牙,dragonFang,38.96,38.96,40.1775,3,3,2,12,13,0,0,1,0,0,2,2,,[],16246684.358890384,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
34,龙牙,dragonFang,40.1775,40.1775,41.395,2,2,1,13,14,0,0,1,0,0,2,2,,[],16222819.316041209,"{""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
35,龙牙,dragonFang,41.395,41.395,42.6125,1,1,0,14,15,0,0,1,0,0,2,2,,[],15882118.585427355,"{""dragonFang"":6217940.805173329,""dragonBlood"":1979672.7177392307,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
36,灭·正常,destroy,42.6125,42.6125,43.83,0,0,3,15,15,0,0,0,0,0,2,2,normal,[],4675100.966841272,"{""destroy"":1782578.5374436032,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1710610.4139967912,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836}"
37,灭·破楼兰→突,destroy,43.83,43.83,45.0475,3,3,5,15,15,0,0,0,0,0,2,2,poLouLanBonus,"[{""action"":""dash"",""seconds"":44.985,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":false,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null}]",6989936.4000432165,"{""destroy"":2026569.2290868987,""breakArmy"":1261941.8485917535,""destroyPoLouLan"":1944750.4584751984,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836,""dash"":63334.09498545909}"
38,任驰骋→雷,ride,45.0475,45.0475,46.265,5,5,5,15,21,0,1,0,0,0,2,2,,"[{""action"":""thunder"",""seconds"":46.2025,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":21,""chargeReadyAtStart"":true,""breakArmyWindow"":null,""activeUntilSeconds"":64.2025}]",1364454.5504514896,"{""bleedTick"":1142399.6777989056,""autoAttack"":222054.87265258387}"
39,龙牙,dragonFang,46.265,46.265,47.4825,5,5,4,21,20,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
40,龙牙,dragonFang,47.4825,47.4825,48.7,4,4,3,20,19,1,1,1,0,1,2,2,,[],21510289.386156578,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347}"
41,龙牙,dragonFang,48.7,48.7,49.9175,3,3,2,19,18,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
42,断魂刺→龙牙,dragonFang,49.9175,49.9175,51.135,2,5,4,18,17,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":49.9175,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",27325957.018804662,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
43,龙牙,dragonFang,51.135,51.135,52.3525,4,4,3,17,16,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
44,灭·正常,destroy,52.3525,52.3525,53.57,3,3,5,16,16,1,1,1,0,1,2,2,normal,[],9845288.24018727,"{""destroy"":3931285.614871933,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3799934.0295191747,""destroyStrain"":564636.1597970189,""autoAttack"":357966.6480718725}"
45,龙牙,dragonFang,53.57,53.57,54.7875,5,5,4,16,15,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
46,龙牙,dragonFang,54.7875,54.7875,56.005,4,4,3,15,14,1,1,1,0,1,2,2,,[],23757221.69589267,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
47,CW→龙牙,dragonFang,56.005,56.005,57.2225,3,5,5,14,13,1,1,1,1,1,2,2,,"[{""action"":""orange"",""seconds"":56.005,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""ride"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
48,龙牙,dragonFang,57.2225,57.2225,58.44,5,5,5,13,12,1,1,1,1,1,2,2,,[],29067365.02440863,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725}"
49,龙牙,dragonFang,58.44,58.44,59.6575,5,5,5,12,11,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
50,龙牙,dragonFang,59.6575,59.6575,60.875,5,5,5,11,10,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
51,龙牙,dragonFang,60.875,60.875,62.0925,5,5,5,10,9,1,1,1,1,0,2,2,,[],25965687.59424903,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
52,龙牙,dragonFang,62.0925,62.0925,63.31,5,5,4,9,8,1,1,1,0,0,2,2,,[],18676914.02794323,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
53,下马+突→龙牙,dragonFang,63.31,63.31,64.5275,4,4,3,8,9,1,0,1,0,0,2,2,,"[{""action"":""dismount"",""seconds"":63.31,""rageBefore"":null,""rageAfter"":null,""mounted"":true,""thunder"":true,""orange"":false,""ride"":false,""reason"":""free-search"",""dragonRideStacksAtStart"":8,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""dash"",""seconds"":63.31,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":true,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null}]",17706649.159338307,"{""dash"":102098.60932023358,""breakArmy"":3051496.3815415027,""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
54,龙吟,dragonRoar,64.5275,64.5275,65.745,3,3,5,9,9,0,0,0,0,0,2,1,,[],4993688.377399129,"{""dragonRoar"":3209533.180270538,""breakArmy"":630970.9242958768,""autoAttack"":200684.40871821836,""bleedTick"":952499.8641144952}"
55,龙牙,dragonFang,65.745,65.745,66.9625,5,5,2,9,10,0,0,0,0,0,2,1,,[],10544326.062108519,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836,""bleedTick"":952499.8641144952}"
56,灭·正常,destroy,66.9625,66.9625,68.18,2,2,5,10,10,0,0,0,0,0,2,2,normal,[],4991784.960895907,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836}"
57,龙牙,dragonFang,68.18,68.18,69.3975,5,5,2,10,11,0,0,0,0,0,2,2,,[],10734225.87579293,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
58,灭·破楼兰,destroy,69.3975,69.3975,70.615,2,2,5,11,11,0,0,0,0,0,2,2,poLouLanBonus,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
59,任驰骋→雷,ride,70.615,70.615,71.8325,5,5,5,11,17,0,1,0,0,0,2,2,,"[{""action"":""thunder"",""seconds"":71.77,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":17,""chargeReadyAtStart"":true,""breakArmyWindow"":null,""activeUntilSeconds"":89.77}]",1393823.3368524497,"{""bleedTick"":1393823.3368524497}"
60,龙牙,dragonFang,71.8325,71.8325,73.05,5,5,4,17,16,1,1,1,0,1,2,2,,[],22422163.449968018,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
