行号,技能,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
22,龙牙,25.5675,25.5675,26.785,3,3,2,5,4,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
23,断魂刺→龙牙,26.785,26.785,28.0025,2,5,4,4,3,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":26.785,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",27325957.018804662,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
24,龙牙,28.0025,28.0025,29.22,4,4,3,3,2,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
25,龙牙,29.22,29.22,30.4375,3,3,2,2,1,1,1,1,0,1,2,2,,[],21314348.61848888,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
26,下马→灭·正常,30.4375,30.4375,31.655,2,2,5,1,1,1,0,1,0,0,2,2,normal,"[{""action"":""dismount"",""seconds"":30.4375,""rageBefore"":null,""rageAfter"":null,""mounted"":null,""thunder"":null,""orange"":null,""reason"":""free-search"",""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
27,龙牙,31.655,31.655,32.8725,5,5,4,1,2,0,0,1,0,1,2,2,,[],20344388.289588254,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
28,龙牙,32.8725,32.8725,34.09,4,4,3,2,3,0,0,1,0,1,2,2,,[],20289709.967274055,"{""dragonFang"":8497374.962540247,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
29,龙牙,34.09,34.09,35.3075,3,3,2,3,4,0,0,1,0,1,2,2,,[],17630132.687151898,"{""dragonFang"":8183594.6067008,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
30,灭·破楼兰,35.3075,35.3075,36.525,2,2,5,4,4,0,0,1,0,0,2,2,poLouLanBonus,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
31,龙牙,36.525,36.525,37.7425,5,5,4,4,5,0,0,1,0,1,2,2,,[],20702354.937660128,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
32,龙牙,37.7425,37.7425,38.96,4,4,3,5,6,0,0,1,0,1,2,2,,[],20255259.413449485,"{""dragonFang"":8497374.962540247,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":323516.0942473035}"
33,龙牙,38.96,38.96,40.1775,3,3,2,6,7,0,0,1,0,0,2,2,,[],14405063.058105554,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235}"
34,龙牙,40.1775,40.1775,41.395,2,2,1,7,8,0,0,1,0,0,2,2,,[],16222819.316041209,"{""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
35,龙牙,41.395,41.395,42.6125,1,1,0,8,9,0,0,1,0,0,2,2,,[],15882118.585427355,"{""dragonFang"":6217940.805173329,""dragonBlood"":1979672.7177392307,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
36,灭·正常,42.6125,42.6125,43.83,0,0,3,9,9,0,0,0,0,0,2,2,normal,[],5817500.6446401775,"{""destroy"":1782578.5374436032,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1710610.4139967912,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
37,灭·破楼兰,43.83,43.83,45.0475,3,3,5,9,9,0,0,0,0,0,2,2,poLouLanBonus,[],5153231.702962975,"{""destroy"":2026569.2290868987,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1944750.4584751984,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836}"
38,任驰骋→雷,45.0475,45.0475,46.265,5,5,5,9,15,0,1,0,0,0,2,2,,"[{""action"":""thunder"",""seconds"":46.2025,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":15,""chargeReadyAtStart"":true}]",1364454.5504514896,"{""bleedTick"":1142399.6777989056,""autoAttack"":222054.87265258387}"
39,龙牙,46.265,46.265,47.4825,5,5,4,15,14,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
40,龙牙,47.4825,47.4825,48.7,4,4,3,14,13,1,1,1,0,1,2,2,,[],23757221.69589267,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
41,龙牙,48.7,48.7,49.9175,3,3,2,13,12,1,1,1,0,1,2,2,,[],21314348.61848888,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
42,断魂刺→龙牙,49.9175,49.9175,51.135,2,5,4,12,11,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":49.9175,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",27325957.018804662,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
43,龙牙,51.135,51.135,52.3525,4,4,3,11,10,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
44,龙牙,52.3525,52.3525,53.57,3,3,2,10,9,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
45,灭·正常,53.57,53.57,54.7875,2,2,5,9,9,1,1,1,0,0,2,2,normal,[],9530989.638717063,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""autoAttack"":357966.6480718725}"
46,龙牙,54.7875,54.7875,56.005,5,5,4,9,8,1,1,1,0,1,2,2,,[],24311129.111632235,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
47,CW→龙牙,56.005,56.005,57.2225,4,5,5,8,7,1,1,1,1,1,2,2,,"[{""action"":""orange"",""seconds"":56.005,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
48,龙牙,57.2225,57.2225,58.44,5,5,5,7,6,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
49,龙牙,58.44,58.44,59.6575,5,5,5,6,5,1,1,1,1,1,2,2,,[],29067365.02440863,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725}"
50,龙牙,59.6575,59.6575,60.875,5,5,5,5,4,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
51,龙牙,60.875,60.875,62.0925,5,5,5,4,3,1,1,1,1,0,2,2,,[],25965687.59424903,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
52,龙牙,62.0925,62.0925,63.31,5,5,4,3,2,1,1,1,0,0,2,2,,[],20518535.32872806,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
53,龙牙,63.31,63.31,64.5275,4,4,3,2,1,1,1,1,0,0,2,2,,[],17896356.099989247,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235}"
54,下马→龙吟,64.5275,64.5275,65.745,3,3,5,1,1,1,0,0,0,0,2,1,,"[{""action"":""dismount"",""seconds"":64.5275,""rageBefore"":null,""rageAfter"":null,""mounted"":null,""thunder"":null,""orange"":null,""reason"":""free-search"",""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",4993688.377399128,"{""dragonRoar"":3209533.180270538,""breakArmy"":630970.9242958768,""bleedTick"":952499.8641144952,""autoAttack"":200684.40871821836}"
55,龙牙,65.745,65.745,66.9625,5,5,2,1,2,0,0,0,0,0,2,1,,[],10544326.062108519,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836,""bleedTick"":952499.8641144952}"
56,灭·正常,66.9625,66.9625,68.18,2,2,5,2,2,0,0,0,0,0,2,2,normal,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
57,龙牙,68.18,68.18,69.3975,5,5,2,2,3,0,0,0,0,0,2,2,,[],9591826.197994024,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836}"
58,灭·破楼兰,69.3975,69.3975,70.615,2,2,5,3,3,0,0,0,0,0,2,2,poLouLanBonus,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
59,任驰骋→雷,70.615,70.615,71.8325,5,5,5,3,9,0,1,0,0,0,2,2,,"[{""action"":""thunder"",""seconds"":71.77,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":9,""chargeReadyAtStart"":true}]",1142399.6777989056,"{""bleedTick"":1142399.6777989056}"
60,龙牙,71.8325,71.8325,73.05,5,5,4,9,8,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
61,龙牙,73.05,73.05,74.2675,4,4,3,8,7,1,1,1,0,1,2,2,,[],21868256.03422845,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
62,龙牙,74.2675,74.2675,75.485,3,3,2,7,6,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
63,断魂刺→龙牙,75.485,75.485,76.7025,2,5,4,6,5,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":75.485,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",27325957.018804662,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
64,龙牙,76.7025,76.7025,77.92,4,4,3,5,4,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
65,龙牙,77.92,77.92,79.1375,3,3,2,4,3,1,1,1,0,1,2,2,,[],21314348.61848888,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
66,灭·正常,79.1375,79.1375,80.355,2,2,5,3,3,1,1,1,0,0,2,2,normal,[],11419955.300381282,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091}"
67,龙牙,80.355,80.355,81.5725,5,5,4,3,2,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
68,龙牙,81.5725,81.5725,82.79,4,4,3,2,1,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
